brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,engine_displacement,engine_cylinders,vehicle_age,price_per_mile,mileage_per_year,is_luxury_brand,has_accident,is_ev_or_hybrid,age_mileage_score
Ford,Utility Police Interceptor Base,2013,51000.0,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,At Least 1 Accident Or Damage Reported,Yes,10300.0,3.7,6.0,11,0.202,4250.0,0,1,0,0.561
Hyundai,Palisade Sel,2021,34742.0,Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,Moonlight Cloud,Gray,At Least 1 Accident Or Damage Reported,Yes,38005.0,3.8,,3,1.0939,8686.0,0,1,0,0.1042
Lexus,Rx 350 Rx 350,2022,22372.0,Gasoline,3.5 Liter DOHC,Automatic,Blue,Black,None Reported,Unknown,54598.0,,,2,2.4404,7457.0,1,0,0,0.0447
Infiniti,Q50 Hybrid Sport,2015,88900.0,Hybrid,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,7-Speed A/T,Black,Black,None Reported,Yes,15500.0,3.5,6.0,9,0.1744,8890.0,0,0,1,0.8001
Audi,Q3 45 S Line Premium Plus,2021,9835.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Glacier White Metallic,Black,None Reported,Unknown,34999.0,2.0,,3,3.5583,2459.0,1,0,0,0.0295
Acura,Ilx 2.4L,2016,136397.0,Gasoline,2.4 Liter,F,Silver,Ebony.,None Reported,Unknown,14798.0,,,8,0.1085,15155.0,0,0,0,1.0912
Audi,S3 2.0T Premium Plus,2017,84000.0,Gasoline,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,None Reported,Yes,31000.0,2.0,4.0,7,0.369,10500.0,1,0,0,0.588
Bmw,740 Il,2001,223089.60000000012,Gasoline,282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,Green,Green,None Reported,Yes,7300.0,4.4,8.0,23,0.0327,9295.0,1,0,0,5.1311
Lexus,Rc 350 F Sport,2021,23436.0,Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None Reported,Yes,41927.0,3.5,6.0,3,1.7889,5859.0,1,0,0,0.0703
Tesla,Model X Long Range Plus,2020,34000.0,Gasoline,534.0HP Electric Motor Electric Fuel System,A/T,Black,Black,None Reported,Yes,69950.0,,,4,2.0573,6800.0,0,0,0,0.136
Land,Rover Range Rover Sport 3.0 Supercharged Hst,2021,27608.0,Gasoline,V6,Automatic,Fuji White,Pimento / Ebony,None Reported,Unknown,73897.0,,,3,2.6766,6902.0,0,0,0,0.0828
Aston,Martin Dbs Superleggera,2019,22770.0,Gasoline,715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None Reported,Yes,184606.0,5.2,12.0,5,8.1071,3795.0,0,0,0,0.1138
Toyota,Supra 3.0 Premium,2021,12500.0,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Yellow,Black,None Reported,Yes,53500.0,3.0,6.0,3,4.2797,3125.0,0,0,0,0.0375
